make,symboling,normalized-losses,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,drive-wheels-4wd,drive-wheels-fwd,drive-wheels-rwd
alfa-romero,3,122,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,11.19047619047619,8.703703703703704,Low,0,0,1
alfa-romero,3,122,gas,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,11.19047619047619,8.703703703703704,Low,0,0,1
alfa-romero,1,122,gas,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,0.38333333333333347,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,12.368421052631579,9.038461538461538,Medium,0,0,1
audi,2,164,gas,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,0.5416666666666666,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,9.791666666666666,7.833333333333333,Low,0,1,0
audi,2,164,gas,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,0.5416666666666666,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,13.055555555555555,10.681818181818182,Low,1,0,0
audi,2,122,gas,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,0.44166666666666704,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,12.368421052631579,9.4,Low,0,1,0
audi,1,158,gas,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,12.368421052631579,9.4,Low,0,1,0
audi,1,122,gas,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6583333333333338,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,12.368421052631579,9.4,Low,0,1,0
audi,1,158,gas,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,0.6750000000000002,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,13.823529411764707,11.75,Medium,0,1,0
bmw,2,192,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,14.6875,10.681818181818182,Low,0,0,1
bmw,0,192,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,10.217391304347826,8.10344827586207,Low,0,0,1
bmw,0,188,gas,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,10.217391304347826,8.10344827586207,Medium,0,0,1
bmw,0,188,gas,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,0.5416666666666666,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,11.19047619047619,8.392857142857142,Medium,0,0,1
bmw,1,122,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,0.6583333333333338,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,11.19047619047619,8.392857142857142,Medium,0,0,1
bmw,0,122,gas,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5641025641025647,0.6583333333333338,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,11.75,9.4,Medium,0,0,1
bmw,0,122,gas,std,two,sedan,rwd,front,103.5,0.7865671641791048,0.6495726495726502,0.49166666666666714,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,14.6875,10.681818181818182,Medium,0,0,1
bmw,0,122,gas,std,four,sedan,rwd,front,110.0,0.8343283582089553,0.9059829059829065,0.7083333333333334,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,14.6875,10.681818181818182,Medium,0,0,1
chevrolet,2,121,gas,std,two,hatchback,fwd,front,88.4,0.0,0.0,0.45000000000000046,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,15.666666666666666,11.75,Low,0,1,0
chevrolet,1,98,gas,std,two,hatchback,fwd,front,94.5,0.22089552238805987,0.2820512820512823,0.35000000000000026,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,5.0,4.433962264150943,Low,0,1,0
chevrolet,0,81,gas,std,four,sedan,fwd,front,94.5,0.26417910447761217,0.2820512820512823,0.35000000000000026,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,6.184210526315789,5.465116279069767,Low,0,1,0
dodge,1,118,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,6.184210526315789,5.465116279069767,Low,0,1,0
dodge,1,118,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,6.351351351351352,5.7317073170731705,Low,0,1,0
dodge,1,118,gas,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.25,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,7.580645161290323,6.184210526315789,Low,0,1,0
dodge,1,148,gas,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,9.791666666666666,7.833333333333333,Low,0,1,0
dodge,1,148,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,7.580645161290323,6.184210526315789,Low,0,1,0
dodge,1,148,gas,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,7.580645161290323,6.184210526315789,Low,0,1,0
dodge,1,148,gas,turbo,four,sedan,fwd,front,93.7,0.24179104477611965,0.2991452991452991,0.2333333333333337,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,7.580645161290323,6.184210526315789,Low,0,1,0
dodge,-1,110,gas,std,four,wagon,fwd,front,103.3,0.5,0.3675213675213672,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,9.791666666666666,7.833333333333333,Low,0,1,0
dodge,3,145,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,9.791666666666666,7.833333333333333,Medium,0,1,0
honda,2,137,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,0.25,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,12.368421052631579,9.791666666666666,Low,0,1,0
honda,2,137,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,0.25,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,4.795918367346939,4.351851851851852,Low,0,1,0
honda,1,101,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,7.580645161290323,6.184210526315789,Low,0,1,0
honda,1,101,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,6.184210526315789,5.595238095238095,Low,0,1,0
honda,1,101,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,7.833333333333333,6.911764705882353,Low,0,1,0
honda,0,110,gas,std,four,sedan,fwd,front,96.5,0.33283582089552255,0.3162393162393164,0.5583333333333336,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333333,6.911764705882353,Low,0,1,0
honda,0,78,gas,std,four,wagon,fwd,front,96.5,0.23880597014925373,0.30769230769230776,0.875,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333333,6.911764705882353,Low,0,1,0
honda,0,106,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,0.4583333333333333,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,7.833333333333333,6.911764705882353,Low,0,1,0
honda,0,106,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,0.4583333333333333,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,8.703703703703704,7.121212121212121,Low,0,1,0
honda,0,85,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,0.5250000000000004,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,8.703703703703704,7.121212121212121,Low,0,1,0
honda,0,85,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.18803418803418823,0.5250000000000004,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,8.703703703703704,7.121212121212121,Low,0,1,0
honda,0,85,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,0.5250000000000004,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,8.703703703703704,7.121212121212121,Low,0,1,0
honda,1,107,gas,std,two,sedan,fwd,front,96.5,0.417910447761194,0.4871794871794873,0.2666666666666669,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,9.791666666666666,8.392857142857142,Low,0,1,0
isuzu,0,122,gas,std,four,sedan,rwd,front,94.3,0.4417910447761193,0.12820512820512817,0.47500000000000026,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,9.4,7.580645161290323,Low,0,0,1
isuzu,2,122,gas,std,two,hatchback,rwd,front,96.0,0.4701492537313433,0.4188034188034192,0.3000000000000001,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,9.791666666666666,8.10344827586207,Low,0,0,1
jaguar,0,145,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,6.184210526315789,5.465116279069767,Medium,0,0,1
jaguar,0,122,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,6.184210526315789,5.465116279069767,Medium,0,0,1
jaguar,0,122,gas,std,two,sedan,rwd,front,102.0,0.7552238805970148,0.8803418803418799,0.0,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,9.791666666666666,8.10344827586207,High,0,0,1
mazda,1,104,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,15.666666666666666,12.368421052631579,Low,0,1,0
mazda,1,104,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,15.666666666666666,12.368421052631579,Low,0,1,0
mazda,1,104,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,18.076923076923077,13.823529411764707,Low,0,1,0
mazda,1,113,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,0.5250000000000004,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,7.833333333333333,7.580645161290323,Low,0,1,0
mazda,1,113,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,0.5250000000000004,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,7.580645161290323,6.184210526315789,Low,0,1,0
mazda,3,150,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000.0,17,23,10945.0,7.580645161290323,6.184210526315789,Low,0,0,1
mazda,3,150,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000.0,17,23,11845.0,7.580645161290323,6.184210526315789,Low,0,0,1
mazda,3,150,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101.0,6000.0,17,23,13645.0,7.580645161290323,6.184210526315789,Low,0,0,1
mazda,3,150,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135.0,6000.0,16,23,15645.0,13.823529411764707,10.217391304347826,Medium,0,0,1
mazda,1,129,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,13.823529411764707,10.217391304347826,Low,0,1,0
mazda,0,115,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,13.823529411764707,10.217391304347826,Low,0,1,0
mazda,1,129,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,14.6875,10.217391304347826,Low,0,1,0
mazda,0,115,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,9.038461538461538,7.34375,Low,0,1,0
mazda,0,122,diesel,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,9.038461538461538,7.34375,Low,0,1,0
mazda,0,115,gas,std,four,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,9.038461538461538,7.34375,Low,0,1,0
mazda,0,118,gas,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,0.5500000000000002,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,9.038461538461538,7.34375,Medium,0,0,1
mazda,0,122,diesel,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,0.5500000000000002,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,6.527777777777778,5.595238095238095,Low,0,0,1
mercedes-benz,-1,93,diesel,turbo,four,sedan,rwd,front,110.0,0.7432835820895524,0.8547008547008544,0.7250000000000002,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,9.038461538461538,7.34375,Medium,0,0,1
mercedes-benz,-1,93,diesel,turbo,four,wagon,rwd,front,110.0,0.7432835820895524,0.8547008547008544,0.9083333333333338,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,12.368421052631579,8.703703703703704,Medium,0,0,1
mercedes-benz,0,93,diesel,turbo,two,hardtop,rwd,front,106.7,0.6925373134328359,0.8547008547008544,0.5916666666666668,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,7.580645161290323,6.0256410256410255,Medium,0,0,1
mercedes-benz,-1,93,diesel,turbo,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,0.7083333333333334,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,10.681818181818182,9.4,Medium,0,0,1
mercedes-benz,-1,122,gas,std,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,0.7250000000000002,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,10.681818181818182,9.4,Medium,0,0,1
mercedes-benz,3,142,gas,std,two,convertible,rwd,front,96.6,0.5850746268656719,0.8717948717948718,0.25,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,10.681818181818182,9.4,Medium,0,0,1
mercedes-benz,0,122,gas,std,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,0.7416666666666671,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,10.681818181818182,9.4,Medium,0,0,1
mercedes-benz,1,122,gas,std,two,hardtop,rwd,front,112.0,0.8671641791044775,1.0,0.6333333333333334,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,14.6875,13.055555555555555,Medium,0,0,1
mercury,1,122,gas,turbo,two,hatchback,rwd,front,102.7,0.5567164179104479,0.6581196581196582,0.5833333333333334,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,14.6875,13.055555555555555,Medium,0,0,1
mitsubishi,2,161,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,16.785714285714285,14.6875,Low,0,1,0
mitsubishi,2,161,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,16.785714285714285,14.6875,Low,0,1,0
mitsubishi,2,161,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,12.368421052631579,9.791666666666666,Low,0,1,0
mitsubishi,1,161,gas,turbo,two,hatchback,fwd,front,93.0,0.24179104477611965,0.2991452991452991,0.25,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,6.351351351351352,5.7317073170731705,Low,0,1,0
mitsubishi,3,153,gas,turbo,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,0.13333333333333344,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,7.580645161290323,6.184210526315789,Low,0,1,0
mitsubishi,3,153,gas,std,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,0.13333333333333344,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,7.580645161290323,6.184210526315789,Low,0,1,0
mitsubishi,3,122,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,9.791666666666666,7.833333333333333,Medium,0,1,0
mitsubishi,3,122,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,10.217391304347826,7.833333333333333,Medium,0,1,0
mitsubishi,3,122,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,9.4,7.34375,Medium,0,1,0
mitsubishi,1,125,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,12.368421052631579,9.791666666666666,Low,0,1,0
mitsubishi,1,125,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,12.368421052631579,9.791666666666666,Low,0,1,0
mitsubishi,1,125,gas,turbo,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,12.368421052631579,9.791666666666666,Low,0,1,0
mitsubishi,-1,137,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,9.4,7.34375,Low,0,1,0
nissan,1,128,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,9.4,7.34375,Low,0,1,0
nissan,1,128,diesel,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,10.217391304347826,7.833333333333333,Low,0,1,0
nissan,1,128,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,10.217391304347826,7.833333333333333,Low,0,1,0
nissan,1,122,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,1,103,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,0.47500000000000026,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,5.222222222222222,4.7,Low,0,1,0
nissan,1,128,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,1,128,gas,std,two,hatchback,fwd,front,94.5,0.3656716417910448,0.2991452991452991,0.4583333333333333,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,1,122,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,1,103,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,0.47500000000000026,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,2,168,gas,std,two,hardtop,fwd,front,95.1,0.3179104477611942,0.2991452991452991,0.4583333333333333,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,0,106,gas,std,four,hatchback,fwd,front,97.2,0.4820895522388061,0.4188034188034192,0.5750000000000005,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,0,106,gas,std,four,sedan,fwd,front,97.2,0.4820895522388061,0.4188034188034192,0.5750000000000005,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,7.580645161290323,6.351351351351352,Low,0,1,0
nissan,0,128,gas,std,four,sedan,fwd,front,100.4,0.6059701492537313,0.52991452991453,0.6083333333333337,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,7.580645161290323,6.351351351351352,Medium,0,1,0
